Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent
2015,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Obese Adults,"29,000",19.3
2015,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Obese Adults,"86,000",36
2015,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Obese Adults,"35,000",21.4
2015,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Obese Adults,"39,000",16
2015,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Obese Adults,"45,000",28.9
2015,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Obese Adults,"37,000",31.1
2015,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Obese Adults,"17,000",8.8
2015,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Obese Adults,"66,000",28.5
2015,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Obese Adults,"27,000",15.4
2015,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Obese Adults,"83,000",35.8
2015,Neighborhood (UHF 34),Manhattan, East Harlem,303,Obese Adults,"20,000",26.2
2015,Neighborhood (UHF 34),Brooklyn, East New York,204,Obese Adults,"49,000",35.4
2015,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Obese Adults,"39,000",17.7
2015,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Obese Adults,"55,000",30.1
2015,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Obese Adults,"26,000",24.9
2015,Neighborhood (UHF 34),Queens, Jamaica,408,Obese Adults,"67,000",30.1
2015,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Obese Adults,"23,000",32.5
2015,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Obese Adults,"40,000",23.2
2015,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Obese Adults,"41,000",27.3
2015,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Obese Adults,"33,000",23.6
2015,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Obese Adults,"68,000",29.4
2015,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Obese Adults,"36,000",18.1
2015,Neighborhood (UHF 34),Queens, Rockaways,410,Obese Adults,"28,000",34.2
2015,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Obese Adults,"132,000",33.9
2015,Neighborhood (UHF 34),Queens, Southeast Queens,409,Obese Adults,"39,000",25.7
2015,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Obese Adults,"56,000",26.2
2015,Neighborhood (UHF 34),Queens, Southwest Queens,407,Obese Adults,"61,000",29.3
2015,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Obese Adults,"21,000",21.2
2015,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Obese Adults,"16,000",7.5
2015,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Obese Adults,"40,000",12.9
2015,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Obese Adults,"14,000",7.8
2015,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Obese Adults,"52,000",25.8
2015,Neighborhood (UHF 34),Queens, West Queens,402,Obese Adults,"82,000",22
2015,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Obese Adults,"38,000",25.8
